Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Qatar,QAT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,47.6569620139265,45.4060868848016,43.2885740744389,40.6094522819758,36.8899456267738,33.7273035520663,35.5482683436981,37.9794930746587,39.5821395212157,37.6028800771898,37.1050343988277,35.2904219503821,33.5495686981102,32.2566382287485,31.4809674373955,31.8772030129291,31.7268424513247,..,..,..
Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.44422058286346,4.44110220202597,4.68318505069417,4.63193427068988,4.6455195583769,3.96215792355729,3.83278482882614,4.17170285108923,4.08034984483774,3.60747135176666,3.5933033029971,3.69982946782982,3.63334838574668,3.78830872775473,3.86106171468889,3.81706295716296,3.56413750145988,..,..,..
Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.1127113661228,11.2318521528474,11.568369096945,11.6112690474096,11.5956540891301,10.8321086278404,11.3254009458404,11.8801890906258,11.6876415881391,11.3533775358655,11.1757607812513,11.010450197163,10.8368949076188,10.9747024741547,11.4238076801358,11.7122733235372,11.1416527318351,..,..,..
Rwanda,RWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.075335654497408,0.0794234713474482,0.0777017121560947,0.0686053212544397,0.0667900498016969,0.0667958549691215,0.0682585977285353,0.0695920140169191,0.0751019295161939,0.0814036130740856,0.0812705266531034,0.0927977157696768,0.0962207458130356,0.102654554383161,0.111987033315544,0.113057797770289,0.105124140047262,..,..,..
Samoa,WSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.93048975663705,0.949497948321016,0.935161765560067,0.978065708375771,0.883792957812573,0.913156913902348,0.988329086874332,0.998212384963662,0.999878863741899,0.983800059018,1.02747364403713,1.14112520938641,1.20022963453081,1.22910947358282,1.18597431581156,1.31521200537977,0.960782397908146,..,..,..
San Marino,SMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.47242496686684,0.49480455220188,0.492985367325388,0.481615590685625,0.50860899749431,0.526587622383904,0.564407207721618,0.5401947926297,0.624986836839999,0.62604189784111,0.603553471698304,0.614546250074581,0.628933891082529,0.64604203118691,0.650598077068665,0.6533115252168,0.645350140184137,..,..,..
Saudi Arabia,SAU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.6739850141629,12.9231002796827,13.2149871153262,13.4324426740113,14.2037535472172,14.2722088631653,15.1683862693943,15.3813984934801,15.9780157664397,15.9839190651263,16.8252361265938,17.2577930743373,16.795103103967,16.0777919021258,15.0655004937014,14.7030166496769,14.2665853675408,..,..,..
Senegal,SEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.503818644729528,0.516326824254694,0.494469381190578,0.536334335852473,0.542081907505722,0.546632566433421,0.560744784507668,0.588029711367301,0.563383773056991,0.589383332771876,0.613587044752342,0.64679457579979,0.686906342711816,0.646584895307648,0.65339707602786,0.768574983933597,0.649800561203009,..,..,..
Serbia,SRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.70482250339903,6.81180937077875,7.15219678856123,6.97189585046777,6.77882926529294,6.4029553026053,6.4601677913651,7.08176650609841,6.36056538914641,6.48682910923473,5.4666972205331,6.39995050302429,6.60709443405954,6.7431359528992,6.61535438641515,6.62757991630233,6.71451717217514,..,..,..
Seychelles,SYC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.64625644134586,4.60909025079051,4.59810874704492,4.7569767031623,4.80242881457289,5.13528374075007,4.94263116854183,4.66829061881726,4.79825147503482,4.58259680485608,4.99896014623628,5.35008938224558,5.97399579623351,5.95452980395021,6.22455096008764,6.09782330345711,6.08051837257013,..,..,..
Sierra Leone,SLE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0962530874271167,0.0785630406377665,0.101656277851772,0.0847257433412755,0.0852753141592485,0.08271774271619,0.0870322019147085,0.111139929087614,0.125902488986294,0.148000124625638,0.159312379983553,0.148261607024579,0.156233465747467,0.145879585519628,0.132764621949018,0.129094346244259,0.127277607278142,..,..,..
Singapore,SGP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.50851808545158,8.65059982249361,8.44547089368866,8.34372321486362,7.93975115902894,7.78571060513801,8.35450837270906,8.63611004366003,8.22453047443198,8.13316955483092,8.11713717182074,8.20810904856042,8.0198912735455,8.43229982682534,8.01821207673574,7.91841038479591,7.68668370206727,..,..,..
Sint Maarten (Dutch part),SXM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.96733975146493,7.16912034993998,7.04874732321693,6.91961220714685,6.89637351644742,6.29527369455626,6.57195088202977,6.3198357137988,5.98180812522572,6.08128765083193,5.6172857847039,5.67013797150744,5.79984746256443,6.17302222078411,6.05957180869179,5.68970729978492,5.31905480792852,..,..,..
Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.86154514845179,7.95636434165103,8.11896945887821,8.06859050146621,8.58851362181866,7.60378277063582,7.70151856185471,7.64831991535641,7.35169230963674,7.06234559720537,6.35927603565505,6.36758061788265,6.73255071809677,6.83497000563302,6.78573736169737,6.54333372438511,5.93473517885826,..,..,..
