,index,Unnamed: 0,Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
37,29563,29563,CO2 emissions (kt),EN.ATM.CO2E.KT,Central African Republic,CAF,226.2,224.1,234.3,237.8,171.4,168.2,174.8,194.2,197.2,120.6,130.4,184.4,206.4,222.4,229.1,235.4,236.6,..,..,..
38,29564,29564,CO2 emissions (kt),EN.ATM.CO2E.KT,Chad,TCD,773.1,796.6,815.2,876.5,1027.7,1114.2,1190,1003.6649,1233.73,1487.26,1483.1,1478.55,1469.87,1488.2,1557.4,1583.6,1568.4,..,..,..
39,29565,29565,CO2 emissions (kt),EN.ATM.CO2E.KT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
40,29566,29566,CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,54972.1,55968.9,57148.1,64574,67991.6,65450.6,69749.1,76470.5,78412.6,82998.5,76560.3,82260.4,86504.7,87136.9,86581.3,91915.4,84827.8,..,..,..
41,29567,29567,CO2 emissions (kt),EN.ATM.CO2E.KT,China,CHN,5113216.6,5824625.1,6437470.3,6993182.8,7199604.7,7719071.4,8474922.7,9282553.7,9540539.7,9979128,10021043.4,9859281.2,9860914,10089273.2,10567262,10762824,10944686.2,..,..,..
42,29568,29568,CO2 emissions (kt),EN.ATM.CO2E.KT,Colombia,COL,56608.9,58187,58193,59709.9,60298.1,62670.6,64146.1,69771.1,70223.2,77725.4,80091,81017.2,83526.2,75674,79355.2,79186.7,79057.6,..,..,..
43,29569,29569,CO2 emissions (kt),EN.ATM.CO2E.KT,Comoros,COM,153.2,147,172.1,111.8,114.1,140.4,167.8,150,160.1,192.2,171.9,185.9,217.9,279,302.7,326.2,328.2,..,..,..
44,29570,29570,CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Dem. Rep.",COD,1939.7,2208.7,2282.8,2472.8,2553.3,2502.8,2653.9,3016.9,2827.3,3959.5,5136.1,3231.4,2421.14,2845,2813.9,3031.2,3025.6,..,..,..
45,29571,29571,CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Rep.",COG,3514.5,4313.23,4777.96,4150.72,4360.59,4838.56,5423.35,5383.97,5260.75,5311.61,5175.1,5655,5497.6,5406.7,6216.9,7006.1,7153.9,..,..,..
46,29572,29572,CO2 emissions (kt),EN.ATM.CO2E.KT,Costa Rica,CRI,5943.6,6273.9,6557,7602.5,7515.3,7198.5,7105.5,7430.8,7446.7,7778.7,7832.3,7537.9,8008.9,8173.5,8166.6,7956.4,6967.4,..,..,..
